Año;Trimestre;Provincia;ADSL;Cablemodem;Fibra Optica;Wireless;Otras Tecnologías;Hasta 512 kbps;+ 512 Kbps - 1 Mbps;+ 1 Mbps - 6 Mbps;+ 6 Mbps - 10 Mbps;+ 10 Mbps - 20 Mbps;+ 20 Mbps - 30 Mbps;+ 30 Mbps;Otras velocidades;Banda Ancha Fija;Dial Up;Accesos cada 100 Hogares;Accesos cada 100 Habitantes;Mbps (Media de bajada)
2024;2;Neuquén;23553;72698;41784;24549;958;146,0;990,0;35229,0;13345,0;10590,0;3367,0;79985,0;19890,0;163103;439;78,93;23,49;97,04
2024;2;Río Negro;20771;49722;67636;18083;15829;118,0;1035,0;25810,0;17903,0;17570,0;18633,0;75408,0;15564,0;171526;515;71,35;21,95;75,05
2024;2;Salta;19831;98511;64689;11807;6503;117,0;853,0;25886,0;62722,0;2619,0;68,0;102535,0;6541,0;201336;5;55,72;13,49;87,03
2024;2;San Juan;12669;16978;45792;23594;6957;27,0;2022,0;22029,0;13028,0;11532,0;974,0;33634,0;22744,0;105743;247;51,17;13,03;32,17
2024;2;San Luis;4038;40063;34255;78954;299;60,0;629,0;11229,0;23702,0;4234,0;70855,0;40925,0;5975,0;157444;165;103,4;29,59;181,61
2024;2;Santa Cruz;7768;14134;49545;11353;661;56,0;434,0;7768,0;9578,0;10592,0;8874,0;12374,0;33785,0;83274;187;69,92;20,8;29,89
2024;2;Santa Fe;88486;394939;390090;44286;13172;476,0;6016,0;74717,0;144612,0;57199,0;24685,0;594567,0;28701,0;930867;106;81,34;25,58;102,51
2024;2;Santiago Del Estero;5328;80000;30008;7058;2920;181,0;1084,0;9905,0;52697,0;24388,0;3864,0;32306,0;889,0;125312;2;49,67;12,33;48,95
2024;2;Tierra Del Fuego;9357;47859;3684;177;332;22,0;834,0;10152,0;9645,0;10738,0;16737,0;6157,0;7124,0;61104;305;108,89;32,28;22,09
2024;2;Tucumán;27968;20806;213753;3869;518;40,0;808,0;14221,0;18593,0;22153,0;1515,0;209241,0;343,0;266887;27;60,84;15,07;108,93
2024;1;Buenos Aires;203297;2790663;1799013;150290;101294;26002,0;22510,0;221185,0;233225,0;241778,0;106418,0;4068292,0;125147,0;5038657;5900;81,1;27,8;159,13
2024;1;Buenos Aires;203297;2790663;1799013;150290;101294;26002,0;22510,0;221185,0;233225,0;241778,0;106418,0;4068292,0;125147,0;5038657;5900;81,1;27,8;159,13
2024;1;Capital Federal;70108;1177475;203756;4493;48879;516,0;5418,0;29753,0;51415,0;37369,0;5957,0;1374283,0;0,0;1502661;2050;119,53;48,78;229,94
2024;1;Capital Federal;70108;1177475;203756;4493;48879;516,0;5418,0;29753,0;51415,0;37369,0;5957,0;1374283,0;0,0;1502661;2050;119,53;48,78;229,94
2024;1;Catamarca;5901;11025;56542;1384;81;71,0;176,0;2872,0;3424,0;4204,0;1822,0;62294,0;70,0;74932;1;68,82;17,5;91,45
2024;1;Catamarca;5901;11025;56542;1384;81;71,0;176,0;2872,0;3424,0;4204,0;1822,0;62294,0;70,0;74932;1;68,82;17,5;91,45
2024;1;Chaco;11343;58929;64463;8404;12404;236,0;416,0;14156,0;9044,0;5533,0;5718,0;116624,0;3816,0;155538;5;46,7;12,48;107,51
2024;1;Chaco;11343;58929;64463;8404;12404;236,0;416,0;14156,0;9044,0;5533,0;5718,0;116624,0;3816,0;155538;5;46,7;12,48;107,51
2024;1;Chubut;26306;77217;26356;30867;9930;111,0;1083,0;43828,0;31885,0;23024,0;20261,0;33844,0;16640,0;169819;857;84,89;26,02;20,5
2024;1;Chubut;26306;77217;26356;30867;9930;111,0;1083,0;43828,0;31885,0;23024,0;20261,0;33844,0;16640,0;169819;857;84,89;26,02;20,5
2024;1;Córdoba;102812;449784;458985;61121;9497;99,0;8056,0;110371,0;87798,0;47085,0;29939,0;784141,0;14710,0;1082136;63;90,7;27,77;114,89
2024;1;Córdoba;102812;449784;458985;61121;9497;99,0;8056,0;110371,0;87798,0;47085,0;29939,0;784141,0;14710,0;1082136;63;90,7;27,77;114,89
2024;1;Corrientes;18390;85595;38268;10409;5232;67,0;2690,0;18637,0;16530,0;7680,0;1996,0;104052,0;6242,0;157891;3;51,94;13,68;102,49
2024;1;Corrientes;18390;85595;38268;10409;5232;67,0;2690,0;18637,0;16530,0;7680,0;1996,0;104052,0;6242,0;157891;3;51,94;13,68;102,49
2024;1;Entre Ríos;36574;158283;66180;23950;11565;107,0;4290,0;34574,0;51447,0;16122,0;7228,0;168809,0;13975,0;296532;20;69,31;20,72;101,36
2024;1;Entre Ríos;36574;158283;66180;23950;11565;107,0;4290,0;34574,0;51447,0;16122,0;7228,0;168809,0;13975,0;296532;20;69,31;20,72;101,36
2024;1;Formosa;9147;18631;17908;16851;181;85,0;158,0;22133,0;10924,0;4176,0;273,0;24667,0;302,0;62718;0;39,61;10,08;83,8
2024;1;Formosa;9147;18631;17908;16851;181;85,0;158,0;22133,0;10924,0;4176,0;273,0;24667,0;302,0;62718;0;39,61;10,08;83,8
2024;1;Jujuy;10554;51093;51084;4106;1216;58,0;1268,0;14964,0;11283,0;28548,0;276,0;59686,0;1970,0;118053;0;57,65;14,74;47,52
2024;1;Jujuy;10554;51093;51084;4106;1216;58,0;1268,0;14964,0;11283,0;28548,0;276,0;59686,0;1970,0;118053;0;57,65;14,74;47,52
2024;1;La Pampa;6844;59008;35556;19681;1106;71,0;1419,0;45089,0;17273,0;15221,0;5332,0;36191,0;1599,0;122033;162;100,49;33,11;26,55
2024;1;La Pampa;6844;59008;35556;19681;1106;71,0;1419,0;45089,0;17273,0;15221,0;5332,0;36191,0;1599,0;122033;162;100,49;33,11;26,55
2024;1;La Rioja;2827;55443;23086;6396;30;18,0;407,0;1336,0;1566,0;24770,0;4710,0;54975,0;0,0;87778;4;80,03;21,3;63,71
2024;1;La Rioja;2827;55443;23086;6396;30;18,0;407,0;1336,0;1566,0;24770,0;4710,0;54975,0;0,0;87778;4;80,03;21,3;63,71
2024;1;Mendoza;17674;70932;185460;27606;925;104,0;2945,0;35893,0;20900,0;30049,0;7623,0;199517,0;5566,0;301867;730;52,59;14,67;51,85
2024;1;Mendoza;17674;70932;185460;27606;925;104,0;2945,0;35893,0;20900,0;30049,0;7623,0;199517,0;5566,0;301867;730;52,59;14,67;51,85
2024;1;Misiones;23217;77561;81498;13378;6902;51,0;3173,0;26882,0;26369,0;9812,0;3638,0;124105,0;8526,0;202556;0;56,76;15,46;94,98
2024;1;Misiones;23217;77561;81498;13378;6902;51,0;3173,0;26882,0;26369,0;9812,0;3638,0;124105,0;8526,0;202556;0;56,76;15,46;94,98
2024;1;Neuquén;24076;73298;41577;24387;908;136,0;997,0;35382,0;13482,0;10491,0;2934,0;80656,0;20168,0;163807;439;79,5;23,66;98,16
2024;1;Neuquén;24076;73298;41577;24387;908;136,0;997,0;35382,0;13482,0;10491,0;2934,0;80656,0;20168,0;163807;439;79,5;23,66;98,16
2024;1;Río Negro;20841;49727;66889;17733;15829;112,0;1035,0;25500,0;17641,0;17191,0;18633,0;75331,0;15576,0;170504;515;71,14;21,88;75,0
2024;1;Río Negro;20841;49727;66889;17733;15829;112,0;1035,0;25500,0;17641,0;17191,0;18633,0;75331,0;15576,0;170504;515;71,14;21,88;75,0
2024;1;Salta;23858;99150;61543;11807;6503;114,0;926,0;27352,0;64530,0;3192,0;62,0;100039,0;6646,0;202856;5;56,3;13,63;84,34
2024;1;Salta;23858;99150;61543;11807;6503;114,0;926,0;27352,0;64530,0;3192,0;62,0;100039,0;6646,0;202856;5;56,3;13,63;84,34
2024;1;San Juan;12669;18543;44904;23594;6956;24,0;2021,0;22045,0;13030,0;11597,0;1343,0;33851,0;22755,0;106419;247;51,62;13,15;30,58
2024;1;San Juan;12669;18543;44904;23594;6956;24,0;2021,0;22045,0;13030,0;11597,0;1343,0;33851,0;22755,0;106419;247;51,62;13,15;30,58
2024;1;San Luis;4038;41260;31539;78954;299;60,0;628,0;11318,0;23754,0;8953,0;70855,0;34554,0;5968,0;155925;165;102,7;29,39;179,49
2024;1;San Luis;4038;41260;31539;78954;299;60,0;628,0;11318,0;23754,0;8953,0;70855,0;34554,0;5968,0;155925;165;102,7;29,39;179,49
2024;1;Santa Cruz;7768;14435;49545;7799;661;50,0;427,0;7764,0;9577,0;7182,0;7070,0;14335,0;33803,0;80021;187;67,58;20,1;31,6
2024;1;Santa Cruz;7768;14435;49545;7799;661;50,0;427,0;7764,0;9577,0;7182,0;7070,0;14335,0;33803,0;80021;187;67,58;20,1;31,6
